t,x_cubeOne(t),x_cubeTwo(t),v_cubeOne(t),v_cubeTwo(t),p_cubeOne(t),p_cubeTwo(t)
0.349999,1.820537,-4.35,0.1744995,0,0.3489991,0
0.350999,1.820712,-4.35,0.1749995,0,0.349999,0
0.351999,1.820888,-4.35,0.1754995,0,0.350999,0
0.352999,1.821064,-4.35,0.1759995,0,0.351999,0
0.353999,1.82124,-4.35,0.1764995,0,0.352999,0
0.354999,1.821417,-4.35,0.1769995,0,0.353999,0
0.355999,1.821595,-4.35,0.1774995,0,0.354999,0
0.356999,1.821773,-4.35,0.1779995,0,0.355999,0
0.3579989,1.821951,-4.35,0.1784995,0,0.356999,0
0.3589989,1.82213,-4.35,0.1789995,0,0.3579989,0
0.3599989,1.82231,-4.35,0.1794995,0,0.3589989,0
0.3609989,1.82249,-4.35,0.1799995,0,0.3599989,0
0.3619989,1.82267,-4.35,0.1804994,0,0.3609989,0
0.3629989,1.822851,-4.35,0.1809994,0,0.3619989,0
0.3639989,1.823033,-4.35,0.1814994,0,0.3629989,0
0.3649988,1.823215,-4.35,0.1819994,0,0.3639989,0
0.3659988,1.823398,-4.35,0.1824994,0,0.3649988,0
0.3669988,1.823581,-4.35,0.1829994,0,0.3659988,0
0.3679988,1.823764,-4.35,0.1834994,0,0.3669988,0
0.3689988,1.823948,-4.35,0.1839994,0,0.3679988,0
0.3699988,1.824132,-4.35,0.1844994,0,0.3689988,0
0.3709988,1.824317,-4.35,0.1849994,0,0.3699988,0
0.3719988,1.824503,-4.35,0.1854994,0,0.3709988,0
0.3729987,1.824689,-4.35,0.1859994,0,0.3719988,0
0.3739987,1.824875,-4.35,0.1864994,0,0.3729987,0
0.3749987,1.825062,-4.35,0.1869994,0,0.3739987,0
0.3759987,1.82525,-4.35,0.1874994,0,0.3749987,0
0.3769987,1.825438,-4.35,0.1879994,0,0.3759987,0
0.3779987,1.825626,-4.35,0.1884993,0,0.3769987,0
0.3789987,1.825815,-4.35,0.1889993,0,0.3779987,0
0.3799987,1.826005,-4.35,0.1894993,0,0.3789987,0
0.3809986,1.826195,-4.35,0.1899993,0,0.3799987,0
0.3819986,1.826385,-4.35,0.1904993,0,0.3809986,0
0.3829986,1.826576,-4.35,0.1909993,0,0.3819986,0
0.3839986,1.826768,-4.35,0.1914993,0,0.3829986,0
0.3849986,1.82696,-4.35,0.1919993,0,0.3839986,0
0.3859986,1.827152,-4.35,0.1924993,0,0.3849986,0
0.3869986,1.827345,-4.35,0.1929993,0,0.3859986,0
0.3879986,1.827539,-4.35,0.1934993,0,0.3869986,0
0.3889985,1.827733,-4.35,0.1939993,0,0.3879986,0
0.3899985,1.827927,-4.35,0.1944993,0,0.3889985,0
0.3909985,1.828122,-4.35,0.1949993,0,0.3899985,0
0.3919985,1.828318,-4.35,0.1954993,0,0.3909985,0
0.3929985,1.828514,-4.35,0.1959992,0,0.3919985,0
0.3939985,1.82871,-4.35,0.1964992,0,0.3929985,0
0.3949985,1.828907,-4.35,0.1969992,0,0.3939985,0
0.3959984,1.829105,-4.35,0.1974992,0,0.3949985,0
0.3969984,1.829303,-4.35,0.1979992,0,0.3959984,0
0.3979984,1.829501,-4.35,0.1984992,0,0.3969984,0
0.3989984,1.8297,-4.35,0.1989992,0,0.3979984,0
0.3999984,1.8299,-4.35,0.1994992,0,0.3989984,0
0.4009984,1.8301,-4.35,0.1999992,0,0.3999984,0
0.4019984,1.8303,-4.35,0.2004992,0,0.4009984,0
0.4029984,1.830501,-4.35,0.2009992,0,0.4019984,0
0.4039983,1.830703,-4.35,0.2014992,0,0.4029984,0
0.4049983,1.830905,-4.35,0.2019992,0,0.4039983,0
0.4059983,1.831107,-4.35,0.2024992,0,0.4049983,0
0.4069983,1.83131,-4.35,0.2029992,0,0.4059983,0
0.4079983,1.831514,-4.35,0.2034992,0,0.4069983,0
0.4089983,1.831718,-4.35,0.2039991,0,0.4079983,0
0.4099983,1.831922,-4.35,0.2044991,0,0.4089983,0
0.4109983,1.832127,-4.35,0.2049991,0,0.4099983,0
0.4119982,1.832333,-4.35,0.2054991,0,0.4109983,0
0.4129982,1.832539,-4.35,0.2059991,0,0.4119982,0
0.4139982,1.832745,-4.35,0.2064991,0,0.4129982,0
0.4149982,1.832952,-4.35,0.2069991,0,0.4139982,0
0.4159982,1.83316,-4.35,0.2074991,0,0.4149982,0
0.4169982,1.833368,-4.35,0.2079991,0,0.4159982,0
0.4179982,1.833576,-4.35,0.2084991,0,0.4169982,0
0.4189982,1.833785,-4.35,0.2089991,0,0.4179982,0
0.4199981,1.833995,-4.35,0.2094991,0,0.4189982,0
0.4209981,1.834205,-4.35,0.2099991,0,0.4199981,0
0.4219981,1.834415,-4.35,0.2104991,0,0.4209981,0
0.4229981,1.834626,-4.35,0.2109991,0,0.4219981,0
0.4239981,1.834838,-4.35,0.2114991,0,0.4229981,0
0.4249981,1.83505,-4.35,0.211999,0,0.4239981,0
0.4259981,1.835262,-4.35,0.212499,0,0.4249981,0
0.426998,1.835475,-4.35,0.212999,0,0.4259981,0
0.427998,1.835689,-4.35,0.213499,0,0.426998,0
0.428998,1.835903,-4.35,0.213999,0,0.427998,0
0.429998,1.836117,-4.35,0.214499,0,0.428998,0
0.430998,1.836332,-4.35,0.214999,0,0.429998,0
0.431998,1.836548,-4.35,0.215499,0,0.430998,0
0.432998,1.836764,-4.35,0.215999,0,0.431998,0
0.433998,1.83698,-4.35,0.216499,0,0.432998,0
0.4349979,1.837197,-4.35,0.216999,0,0.433998,0
0.4359979,1.837415,-4.35,0.217499,0,0.4349979,0
0.4369979,1.837633,-4.35,0.217999,0,0.4359979,0
0.4379979,1.837851,-4.35,0.218499,0,0.4369979,0
0.4389979,1.83807,-4.35,0.218999,0,0.4379979,0
