t,x(t),v(t),F(t) (added)
7.879993,-0.0322987,-2.000063,3.22987
7.899993,-0.07228704,-1.999417,7.228704
7.919993,-0.1122465,-1.997971,11.22465
7.939993,-0.152161,-1.995726,15.2161
7.959993,-0.1920146,-1.992683,19.20146
7.979993,-0.2317915,-1.988842,23.17915
7.999993,-0.2714756,-1.984207,27.14756
8.019994,-0.3110512,-1.978777,31.10512
8.039994,-0.3505023,-1.972556,35.05023
8.059995,-0.3898132,-1.965546,38.98132
8.079995,-0.4289682,-1.95775,42.89682
8.099996,-0.4679516,-1.94917,46.79516
8.119996,-0.5067478,-1.939811,50.67479
8.139997,-0.5453414,-1.929676,54.53414
8.159997,-0.5837168,-1.91877,58.37167
8.179997,-0.6218587,-1.907095,62.18587
8.199998,-0.6597518,-1.894658,65.97518
8.219998,-0.6973811,-1.881463,69.73811
8.239999,-0.7347314,-1.867515,73.47314
8.259999,-0.7717878,-1.852821,77.17878
8.28,-0.8085355,-1.837385,80.85355
8.3,-0.8449597,-1.821214,84.49597
8.320001,-0.8810461,-1.804315,88.10461
8.340001,-0.9167799,-1.786694,91.67799
8.360002,-0.9521471,-1.768359,95.21471
8.380002,-0.9871334,-1.749316,98.71334
8.400002,-1.021725,-1.729573,102.1725
8.420003,-1.055908,-1.709139,105.5908
8.440003,-1.089668,-1.68802,108.9668
8.460004,-1.122993,-1.666227,112.2993
8.480004,-1.155868,-1.643767,115.5868
8.500005,-1.188281,-1.62065,118.8281
8.520005,-1.220219,-1.596884,122.0219
8.540006,-1.251668,-1.57248,125.1668
8.560006,-1.282617,-1.547446,128.2617
8.580007,-1.313053,-1.521794,131.3053
8.600007,-1.342964,-1.495533,134.2964
8.620008,-1.372337,-1.468674,137.2337
8.640008,-1.401162,-1.441227,140.1162
8.660008,-1.429426,-1.413204,142.9426
8.680009,-1.457118,-1.384615,145.7118
8.700009,-1.484228,-1.355473,148.4228
8.72001,-1.510743,-1.325788,151.0744
8.74001,-1.536655,-1.295573,153.6655
8.760011,-1.561952,-1.26484,156.1952
8.780011,-1.586624,-1.233601,158.6624
8.800012,-1.610661,-1.201869,161.0661
8.820012,-1.634054,-1.169656,163.4054
8.840013,-1.656794,-1.136975,165.6794
8.860013,-1.678871,-1.103839,167.8871
8.880013,-1.700276,-1.070261,170.0276
8.900014,-1.721001,-1.036256,172.1001
8.920014,-1.741038,-1.001836,174.1038
8.940015,-1.760378,-0.967015,176.0378
8.960015,-1.779014,-0.9318074,177.9014
8.980016,-1.796939,-0.8962271,179.6938
9.000016,-1.814144,-0.8602884,181.4144
9.020017,-1.830624,-0.8240055,183.0624
9.040017,-1.846372,-0.787393,184.6372
9.060018,-1.861382,-0.7504655,186.1382
9.080018,-1.875646,-0.7132379,187.5646
9.100019,-1.889161,-0.675725,188.9161
9.120019,-1.90192,-0.6379418,190.192
9.140019,-1.913918,-0.5999034,191.3918
9.16002,-1.92515,-0.5616251,192.515
9.18002,-1.935613,-0.5231221,193.5612
9.200021,-1.945301,-0.4844098,194.5301
9.220021,-1.954211,-0.4455038,195.4211
9.240022,-1.962339,-0.4064196,196.2339
9.260022,-1.969683,-0.3671728,196.9683
9.280023,-1.976238,-0.3277791,197.6238
9.300023,-1.982003,-0.2882544,198.2003
9.320024,-1.986976,-0.2486143,198.6976
9.340024,-1.991153,-0.2088748,199.1153
9.360024,-1.994534,-0.1690517,199.4534
9.380025,-1.997117,-0.129161,199.7117
9.400025,-1.998902,-0.08921868,199.8902
9.420026,-1.999886,-0.04924065,199.9886
9.440026,-2.000071,-0.009242929,200.0071
9.460027,-1.999456,0.0307585,199.9456
9.480027,-1.998041,0.07074762,199.8041
9.500028,-1.995827,0.1107084,199.5827
9.520028,-1.992815,0.150625,199.2814
9.540029,-1.989005,0.1904813,198.9005
9.560029,-1.9844,0.2302614,198.44
9.580029,-1.979001,0.2699494,197.9001
9.60003,-1.97281,0.3095294,197.281
9.62003,-1.965831,0.3489856,196.5831
9.640031,-1.958065,0.3883022,195.8065
9.660031,-1.949515,0.4274635,194.9515
9.680032,-1.940186,0.4664538,194.0186
9.700032,-1.930081,0.5052575,193.0081
9.720033,-1.919204,0.5438592,191.9204
9.740033,-1.907559,0.5822433,190.7559
9.760034,-1.895151,0.6203945,189.5151
9.780034,-1.881985,0.6582975,188.1985
9.800035,-1.868067,0.6959372,186.8067
9.820035,-1.853401,0.7332985,185.3401
9.840035,-1.837993,0.7703665,183.7993
9.860036,-1.821851,0.8071263,182.1851
9.880036,-1.80498,0.8435634,180.498
9.900037,-1.787386,0.879663,178.7386
9.920037,-1.769078,0.9154107,176.9078
9.940038,-1.750062,0.9507923,175.0062
9.960038,-1.730346,0.9857935,173.0346
9.980039,-1.709938,1.0204,170.9938
10.00004,-1.688846,1.054599,168.8846
10.02004,-1.667079,1.088376,166.7079
10.04004,-1.644645,1.121718,164.4645
10.06004,-1.621552,1.154611,162.1552
10.08004,-1.597812,1.187042,159.7812
10.10004,-1.573432,1.218998,157.3432
10.12004,-1.548422,1.250466,154.8422
10.14004,-1.522794,1.281435,152.2794
10.16004,-1.496556,1.311891,149.6556
10.18004,-1.469719,1.341822,146.9719
10.20004,-1.442295,1.371216,144.2295
10.22004,-1.414294,1.400062,141.4294
10.24004,-1.385727,1.428348,138.5727
10.26005,-1.356606,1.456062,135.6606
10.28005,-1.326942,1.483194,132.6942
